Removable,,,,,,,Fixed,,,,
PRODUCT,PRICE(USD),,PRODUCT,PRICE(USD),,,PRODUCT,PRICE(USD),,PRODUCT,PRICE  (USD)
FRAMEWORK,,,Ortho.,,,,PORCELAIN FUSED TO METAL(PFM),,,ATTACHMENT,
 Co-Cr  Framework,34,,Ortho. Model,20,,,PFM(GOLD EXTRA CHARGE),22,,Key&Key Way,50
Vitallium Framework,65,,Hard Silensor,100,,,PFM(Ni free),22,,ERA,60
Clear Framework,52,,Soft Silensor,120,,,PFM Metal Try In,12,,VKS,60
,,,Shark Silensor,160,,,PFM Finish Porcelain,12,,Swing Lock,50
,,,NTI Splint,18,,,,,,Stress Breaker,50
DENTURE,,,Hard Night Guard,35,,,Maryland Wing,15,,Hader Bar/Each Section,50
TEETH: 1--4,24,,Soft Night Guard,30,,,Porcelain Butt Margin,8,,Milling,25
TEETH: 5--8,32,,Hard/Soft Night Guard,42,,,Porcelain Butt Margin All Arround ,12,,"*All parts provide by Dr, the labor fee is $20*",
TEETH: 9--13,40,,Surgical Stent,35,,,,,,,
FULL DENTURE,50,,Gelb Guard,60,,,,,,,
Luctione 199/arch,12,,Space Maintainer,20,,,FULL METAL CROWN(FMC),,,IMPLANT,
*Special teeth charged additionally*,,,Cast Space Maintainer,36,,,"FMC, INLAY",17,,Cast Implant Abutment(Gold Extra Charge),20
*Set up teeth or Finish case need charged  half of total price and plus $5/arch*,,,Lingual Arch Space Maintainer,30,,,"FMC, INLAY(Ni. Free)",17,,Titanium Custom Abutment(Include screw),59
,,,Essix Retainer,25,,,FGC (GOLD EXTRA CHARGE),17,,Zirconia Custom Abutment(Include screw),59
,,,Hawley Retainer,28,,,POST&CORE,10,,Screw,10
,,,Soldered Hawley Retainer,32,,,POST,8,,Analog,15
FLEXIBLE PARTIAL DENTURE,,,Standard Begg Retainer,32,,,,,,Duralay Jig,12
TCS Flexible Denture One Stage Finish,55,,Spring Hawley,35,,,,,,Pour Soft Tissue Model,15
TCS Flexible Denture-Process Only,45,,Nance Appliance,28,,,TELESCOPIC,,,Prep. Implant Abutment,18
Valplast Denture One Stage Finish,65,,Spring Appliance,35,,,Primary Crown(Gold Extra Charge) ,40,,Titanium Bar Per Arch,600
Valplast Denture-Process Only,55,,Roberts Appliance,35,,,Secondary Crown (Gold Extra Charge),30,,All on 4 implant full zirconia bridge per arch,600
,,,Screw Appliance,65,,,,,,,
,,,Tongue Barrier,30,,,,,,,
OTHERS,,,Twin Blocks,100,,,ALL PORCELAIN,,,OTHERS,
Wax Rim Only,8,,Hyrax Rapid Palaterl Expander,100,,,E-Max Crown,54,,Diagnostic Wax up,10
Light Cured Base & Rim,12,,Quad Helix,35,,,E-Max Veneer,52,,Temp. Teeth,12
Custom Tray,15,,Andersen,60,,,E-Max Inlay,50,,Pink Porcelain,12
Bleaching Tray,15,,Bionator,90,,,Zirconia,35,,Change Shade,10
Cast Clasp,10,,Activator With Face Bow,90,,,Full Zirconia,25,,Crown Fit to Partial,5
Flexible Clasp,20,,Frankel,120,,,Zirconia Coping,22,,Survey Crown,5
Tooth Color Clasp,25,,Pendulum,65,,,Zirconia Finish Porcelain,15,,Pour Model,5
Wire Clasp,5,,,,,,,,,Partial Indexes,5
Ball Clasp,7,,,,,,,,,Reduction Coping,8
Wire Y-Clasp,10,,,,,,COMPOSITE ,,,,
Add Teeth,10,,,,,,Composite crown,45,,,
Mesh,20,,,,,,Composite Inlay,40,,MODEL,
Reline,24,,,,,,Composite fused to Metal(Gold Extra Charge),52,,3D Print Full Arch E-model,12
Soft Reline,30,,,,,,,,,3D Print Half Arch E-model,6
Metal Backing/Occlusion,7,,,,,,,,,Digital Implant Model,20
Metal Teeth,12,,,,,,DESIGN,,,,
Duplicate Model,5,,,,,,Design Full Coutour,4,,,
Putty Stent,10,,,,,,Design Coping,3,,,
Opaque to the Framework,10,,,,,,Design Implant,5,,,
Solder,15,,,,,,Design Framework,15,,,
Place Name on Denture,3,,,,,,Design Night Guard,10,,,
,,,,,,,Design Full Denture,15,,,
