Product,AA_Price,A_Price,AAA_Price
LOCATOR® Black Processing Male,31.0,26.35,35.65
LOCATOR® Block-out Spacer,31.0,26.35,35.65
LOCATOR® Impression Coping,88.0,74.8,101.2
LOCATOR® Analog,88.0,74.8,101.2
LOCATOR® Parallel Posts,31.0,26.35,35.65
LOCATOR® Angle Measurement Guide,31.0,26.35,35.65
RN Gold Coping,186.0,158.1,213.9
LOCATOR® Processing Spacer,31.0,26.35,35.65
RN Plastic Coping for synOcta® 1.5,42.0,35.7,48.3
WN Temporary Abutment CAD-Temp®,88.0,74.8,101.2
WN Plastic Coping for synOcta® Cementable Abutment,42.0,35.7,48.3
RN Plastic Coping for Solid Abutment,42.0,35.7,48.3
Plastic Coping for Solid Abutment,42.0,35.7,48.3
NNC Plastic Coping for Cementable Abutment,42.0,35.7,48.3
NNC Plastic Coping for Solid Abutment,42.0,35.7,48.3
"NNC Burn-out coping, for Variobase™ Abutment",42.0,35.7,48.3
"RN Burn-out coping, for Variobase™ Abutment",42.0,35.7,48.3
"WN Burn-out coping, for Variobase™ Abutment",42.0,35.7,48.3
NNC Basal Screw,36.0,30.6,41.4
NNC Basal Screw for Cementable Abutments,36.0,30.6,41.4
RN/WN Occlusal Screw,36.0,30.6,41.4
RN Occlusal Screw for Customized Abutment,36.0,30.6,41.4
SCS Guide Screw for Occlusal Screw-retained RN/WN Copings,106.0,90.1,121.9
Guide Screw for Millling Cylinder,102.0,86.7,117.3
NNC Variobase® for Bridge/Bar Cylindrical,155.0,131.75,178.25
RN Variobase® for Bridge/Bar Cylindrical,155.0,131.75,178.25
WN Variobase® for Bridge/Bar Cylindrical,155.0,131.75,178.25
NNC Burn-out Coping for Variobase® for Bridge/Bar Cylindrical,42.0,35.7,48.3
RN Burn-out Coping for Variobase® for Bridge/Bar Cylindrical,42.0,35.7,48.3
WN Burn-out Coping for Variobase® for Bridge/Bar Cylindrical,42.0,35.7,48.3
Scanbody NNC,61.0,51.85,70.15
Scanbody RN,61.0,51.85,70.15
Scanbody WN,61.0,51.85,70.15
Matrix for Retentive Anchor,101.0,85.85,116.15
Spacer for titanium matrix,85.0,72.25,97.75
NNC Post for Temporary restoration,88.0,74.8,101.2
NNC Analog for Solid Abutments,44.0,37.4,50.6
RN Solid Abutment 6°,222.0,188.7,255.3
WN Solid Abutment 6°,222.0,188.7,255.3
NNC Solid Abutment,222.0,188.7,255.3
NNC Impression Cap,18.0,15.3,20.7
NNC LOCATOR® Abutment,201.0,170.85,231.15
NNC Positioning Cylinder for Solid Abutment,18.0,15.3,20.7
NNC Gold Abutment,329.0,279.65,378.35
"NNC Cementable Abutment, 0°",222.0,188.7,255.3
RN synOcta® Abutment,222.0,188.7,255.3
WN synOcta® Abutment,222.0,188.7,255.3
RN synOCta® Cement-retained Abtument,222.0,188.7,255.3
WN synOCta® Cement-retained Abutment,222.0,188.7,255.3
"WN synOcta® Angled Abutment, 15°",222.0,188.7,255.3
"RN synOcta® Abutment, 15°",222.0,188.7,255.3
"RN synOcta® Abutment, 20°",222.0,188.7,255.3
"NNC Cementable Abutment, 15°",222.0,188.7,255.3
RN synOcta® Gold Coping,198.0,168.3,227.7
RN snyOcta® TS Gold Coping,210.0,178.5,241.5
WN synOcta® Gold Coping,217.0,184.45,249.55
RN synOcta® Gold Abutment,329.0,279.65,378.35
WN synOcta® Gold Abutment,329.0,279.65,378.35
RN Temporary Coping for Solid Abutment,36.0,30.6,41.4
WN Temporary Coping for Solid Abutment,36.0,30.6,41.4
NNC Temporary Coping for Solid Abutment,36.0,30.6,41.4
RN Plastic Coping for synOcta® Cementable Abutment,42.0,35.7,48.3
RN Temporary Abutment CAD-Temp®,88.0,74.8,101.2
WN Plastic Coping synOcta® 1.5,42.0,35.7,48.3
RN Extension Shell,42.0,35.7,48.3
RN Plastic Shoulder 15°/20°,204.0,173.4,234.6
